name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
Aurora Biofuels,Clean Technology,"101,718,192",operating,USA,CA,SF Bay Area,Hayward,7,2007,24/01/07,01/04/13,,,2014
Archemix,Biotechnology,"101,750,000",operating,USA,CA,SF Bay Area,San Francisco,2,2000,15/08/02,07/04/04,,,2014
NerdWallet,Consumers|Credit Cards|Curated Web|Incentives|Personal Finance|Search,"102,000,000",operating,USA,CA,SF Bay Area,San Francisco,3,2009,11/05/15,21/10/15,,,2014
Kinex Pharmaceuticals,Biotechnology,"102,149,580",operating,USA,NY,Buffalo,Buffalo,6,2004,03/02/10,20/05/15,,,2014
Personal Capital,Finance|FinTech|Wealth Management,"102,300,000",operating,USA,CA,SF Bay Area,Redwood City,6,2009,01/07/09,29/10/14,,,2014
SeatGeek,Concerts|Search|Sports|Ticketing|Vertical Search,"102,970,000",operating,USA,NY,New York City,New York,9,2009,22/05/09,02/04/15,,,2014
Gazillion Entertainment,Games,"103,000,000",operating,USA,CA,SF Bay Area,San Mateo,4,2005,05/11/10,01/04/13,,,2014
Jounce Therapeutics,Biotechnology,"103,000,000",operating,USA,MA,Boston,Cambridge,2,2013,14/02/13,23/04/15,,,2014
Collegium Pharmaceutical,Biotechnology,"103,000,002",ipo,USA,RI,Providence,Cumberland,6,2002,03/11/06,10/03/15,,,2014
LinkedIn,Networking|Social Media|Social Recruiting|Software,"103,200,000",ipo,USA,CA,SF Bay Area,Mountain View,5,2003,01/11/03,22/10/08,,,2014
ipsy,Beauty|Cosmetics|E-Commerce|Flash Sales|Social Commerce|Subscription Businesses,"103,235,793",operating,USA,CA,SF Bay Area,San Mateo,3,2011,12/12/11,14/09/15,,,2014
Lilliputian Systems,Energy|Hardware + Software|Mobile,"103,350,000",operating,USA,MA,Boston,Wilmington,6,2002,13/12/07,14/09/12,,,2014
Kony,Android|Application Platforms|App Marketing|Banking|Brand Marketing|CRM|Enterprise Application|Enterprise Software|Field Support Services|Finance|Financial Services|Health Care|Hospitality|iOS|Manufacturing|Media|Mobile|Mobile Commerce|Mobility|Retail|Sales and Marketing|Software|Travel,"103,400,000",operating,USA,FL,Orlando,Orlando,6,2007,18/01/11,12/05/15,,,2014
Tigo Energy,Clean Technology,"103,662,749",operating,USA,CA,SF Bay Area,Los Gatos,17,2007,23/05/08,23/09/15,,,2014
Counsyl,Biotechnology|Technology,"103,795,000",operating,USA,CA,SF Bay Area,South San Francisco,6,2008,16/03/10,08/05/14,,,2014
Perlegen Sciences,Biotechnology,"104,000,000",operating,USA,CA,SF Bay Area,Mountain View,2,2000,28/01/03,28/02/05,,,2014
AcuFocus,Health Care,"104,000,000",operating,USA,CA,Anaheim,Irvine,4,2001,16/01/07,03/09/14,,,2014
Elastic,Cloud Computing|Open Source|Real Time|Search|Software,"104,000,000",operating,USA,CA,SF Bay Area,Mountain View,3,2012,08/11/12,05/06/14,,,2014
Gainsight,Enterprise Software|Sales Automation,"104,250,000",operating,USA,CA,SF Bay Area,Redwood City,6,2009,11/12/11,12/11/15,,,2014
moka5,Enterprise Software|Software,"104,300,012",operating,USA,CA,SF Bay Area,Redwood City,8,2005,17/05/06,22/10/14,,,2014
Complete Genomics,Biotechnology|Life Sciences,"104,490,061",ipo,USA,CA,SF Bay Area,Mountain View,4,2007,28/03/06,19/08/10,,,2014
VentiRx Pharmaceuticals,Biotechnology|Health Care|Pharmaceuticals,"104,502,514",operating,USA,WA,Seattle,Seattle,4,2006,01/01/06,23/09/14,,,2014
Assurex Health,Biotechnology,"104,680,725",operating,USA,OH,Cincinnati,Mason,9,2006,15/06/08,23/12/14,,,2014
Aerohive Networks,Mobile|Technology,"104,952,382",ipo,USA,CA,SF Bay Area,Sunnyvale,6,2006,01/07/06,09/07/13,,,2014
Calithera Biosciences,Biotechnology,"104,999,998",ipo,USA,CA,SF Bay Area,South San Francisco,6,2010,08/07/10,31/07/14,,,2014
SMS Assist,Enterprise Software|Marketplaces|Property Management|SaaS,"105,000,000",operating,USA,IL,Chicago,Chicago,3,1995,22/06/11,05/05/15,,,2014
National Funding,Business Services|Financial Services,"105,000,000",operating,USA,CA,San Diego,San Diego,2,1999,22/10/13,13/10/15,,,2014
Alder Biopharmaceuticals,Biotechnology|Health Care|Therapeutics,"105,000,000",ipo,USA,WA,Seattle,Bothell,4,2004,01/07/05,19/04/12,,,2014
C3 Jian,Biotechnology|Health Diagnostics,"105,000,000",operating,USA,CA,Los Angeles,Inglewood,3,2005,05/01/10,17/03/14,,,2014
Betterment,Finance|Investment Management,"105,000,000",operating,USA,NY,New York City,New York,5,2008,01/11/10,17/02/15,,,2014
Chef,Cloud Computing|Infrastructure|Software,"105,000,000",operating,USA,WA,Seattle,Seattle,5,2008,24/04/09,09/09/15,,,2014
Anki,Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics,"105,000,000",operating,USA,CA,SF Bay Area,San Francisco,2,2010,01/06/13,26/09/14,,,2014
Pivotal Software,Big Data|Business Intelligence|Enterprise Software|PaaS|Product Design|Product Development Services|Software,"105,000,000",operating,USA,CA,SF Bay Area,Palo Alto,1,2013,24/04/13,24/04/13,,,2014
Voyager Therapeutics,Biotechnology,"105,000,000",ipo,USA,MA,Boston,Cambridge,2,2014,12/02/14,13/04/15,,,2014
Catalyst Biosciences,Biotechnology,"105,114,496",operating,USA,CA,SF Bay Area,South San Francisco,9,2003,09/02/06,11/06/15,,,2014
Eliza Corporation,Health and Wellness,"105,769,230",operating,USA,MA,Boston,Beverly,1,1983,29/06/11,29/06/11,,,2014
Gigya,Enterprise Software|Identity Management,"105,800,000",operating,USA,CA,SF Bay Area,Mountain View,7,2006,01/02/07,04/11/14,,,2014
Amicus Therapeutics,Biotechnology|Health Care,"105,866,943",ipo,USA,NJ,Newark,Cranbury,5,2002,13/05/04,31/12/13,,,2014
Spin Transfer Technologies,Hardware + Software,"106,000,000",operating,USA,MA,Boston,Boston,2,2007,13/02/12,09/10/14,,,2014
Craftsy,EdTech|Education|Video,"106,000,000",operating,USA,CO,Denver,Denver,4,2010,14/09/11,13/11/14,,,2014
Nevro,Biotechnology,"106,000,000",ipo,USA,CA,SF Bay Area,Menlo Park,2,2010,19/07/11,07/03/13,,,2014
Grand Rounds,Health and Wellness|Health Care|Healthcare Services,"106,000,000",operating,USA,CA,SF Bay Area,San Francisco,4,2011,01/01/11,20/08/15,,,2014
Ayasdi,Analytics|Big Data|Big Data Analytics|Data Visualization|Machine Learning,"106,348,982",operating,USA,CA,SF Bay Area,Menlo Park,7,2008,01/09/10,25/03/15,,,2014
Coinbase,Bitcoin|E-Commerce|Personal Finance,"106,709,590",operating,USA,CA,SF Bay Area,San Francisco,4,2012,12/09/12,20/01/15,,,2014
Ascent Corporation,Web Hosting,"107,000,000",operating,USA,MO,St. Louis,St Louis,1,1998,18/04/12,18/04/12,,,2014
Flexion Therapeutics,Biotechnology|Health Care,"107,000,000",ipo,USA,MA,Boston,Woburn,3,2007,01/10/09,12/02/14,,,2014
Primus Power,Clean Technology,"107,000,000",operating,USA,CA,SF Bay Area,Hayward,5,2009,12/04/10,09/09/15,,,2014
ALPHAEON Corporation,Social Commerce,"107,060,133",operating,USA,CA,Anaheim,Irvine,2,2013,16/01/15,20/11/15,,,2014
BioNano Genomics,Biotechnology|Health Diagnostics|Maps,"107,182,814",operating,USA,CA,San Diego,San Diego,7,2003,26/03/08,20/11/14,,,2014
MyoScience,Biotechnology,"107,400,000",operating,USA,CA,SF Bay Area,Redwood City,4,2005,11/07/08,12/09/13,,,2014
Merrimack Pharmaceuticals,Biotechnology|Health Care,"107,440,000",ipo,USA,MA,Boston,Cambridge,5,2000,01/01/02,14/04/11,,,2014
Cooking.com,Cooking|E-Commerce|Recipes,"107,500,000",operating,USA,CA,Los Angeles,Marina Del Rey,7,1998,01/04/99,06/12/11,,,2014
Fundbox,Business Analytics|Enterprise Software|Payments|Software,"107,500,000",operating,USA,CA,SF Bay Area,San Francisco,3,2012,10/04/14,10/09/15,,,2014
EB Holdings,Biotechnology,"107,676,692",operating,USA,CT,Hartford,Avon,1,2010,26/08/10,26/08/10,,,2014
Tabula,Semiconductors,"108,000,000",operating,USA,CA,SF Bay Area,Santa Clara,2,2003,01/08/07,28/03/11,,,2014
Delos,Health and Wellness|Health Care Information Technology|Technology,"108,000,000",operating,USA,NY,New York City,New York,1,2007,21/10/15,21/10/15,,,2014
Kaminario,Enterprise Software,"108,000,000",operating,USA,MA,Boston,Newton,4,2008,02/05/11,22/01/15,,,2014
Vroom.com,Automotive|Cars|E-Commerce,"108,000,000",operating,USA,NY,New York City,New York,3,2013,16/06/15,20/07/15,,,2014
Cempra,Biotechnology|Health Care,"108,119,996",ipo,USA,NC,Raleigh,Chapel Hill,5,2006,01/04/06,30/10/12,,,2014
REGENXBIO,Biotechnology,"108,391,875",ipo,USA,MD,"Washington, D.C.",Rockville,3,2009,07/11/13,20/05/15,,,2014
Marketo,Analytics|B2B|Brand Marketing|Lead Generation|Lead Management|Optimization|Software,"108,400,000",ipo,USA,CA,SF Bay Area,San Mateo,6,2006,01/10/06,16/11/11,,,2014
Knopp Biosciences LLC,Biotechnology,"108,442,730",operating,USA,PA,Pittsburgh,Pittsburgh,6,2010,01/01/06,08/07/15,,,2014
Ensighten,E-Commerce|Enterprise Software,"108,500,000",operating,USA,CA,SF Bay Area,San Jose,3,2009,12/09/12,20/10/15,,,2014
Flywheel Sports,Sports,"108,800,000",operating,USA,NY,New York City,New York,1,2010,17/04/14,17/04/14,,,2014
MINDBODY,Software,"108,869,760",ipo,USA,CA,San Luis Obispo,San Luis Obispo,6,2001,01/10/05,20/04/15,,,2014
Webroot,Security,"108,912,913",operating,USA,CO,Denver,Broomfield,2,1997,07/02/05,19/12/10,,,2014
Tower Cloud,Enterprise Software,"109,046,753",operating,USA,FL,Tampa,St. Petersburg,4,2006,19/10/09,26/08/13,,,2014
Clarabridge,Enterprise Software|Text Analytics,"109,455,816",operating,USA,VA,"Washington, D.C.",Reston,5,2006,23/01/07,23/04/14,,,2014
Roka Bioscience,Biotechnology,"109,496,656",ipo,USA,NJ,Newark,Warren,4,2009,28/07/11,05/12/13,,,2014
Avalanche Technology,Flash Storage,"109,772,047",operating,USA,CA,SF Bay Area,Fremont,7,2006,01/01/07,02/12/15,,,2014
Conduit,Cloud Computing|Internet|Software,"109,800,000",operating,USA,NY,New York City,New York,3,2005,01/07/06,12/04/12,,,2014
Hostway,Web Hosting,"110,000,000",operating,USA,IL,Chicago,Chicago,1,1998,29/03/10,29/03/10,,,2014
OmniSky,Software,"110,000,000",operating,USA,CA,SF Bay Area,San Francisco,2,1999,31/01/00,12/06/00,,,2014
Globus Medical,Health Care,"110,000,000",ipo,USA,PA,Philadelphia,Audubon,1,2003,23/08/07,23/08/07,,,2014
Myriant Technologies,Biotechnology,"110,000,000",operating,USA,MA,Boston,Quincy,2,2005,08/12/09,24/01/11,,,2014
Saavn,Entertainment Industry|Internet|Mobile|Music|Video Streaming,"110,000,000",operating,USA,NY,New York City,New York,3,2007,01/01/09,07/07/15,,,2014
NantMobile,Software,"110,000,000",operating,USA,CA,Los Angeles,Culver City,4,2013,03/10/12,31/10/14,,,2014
Mersana Therapeutics,Biotechnology,"110,005,371",operating,USA,MA,Boston,Cambridge,6,2005,08/11/05,02/03/15,,,2014
NanoString Technologies,Biotechnology|Diagnostics|Health Diagnostics|Medical,"110,250,000",ipo,USA,WA,Seattle,Seattle,9,2003,27/04/05,13/05/13,,,2014
Cardiac Dimensions,Biotechnology|Health Care|Medical Devices,"110,596,923",operating,USA,WA,Seattle,Kirkland,10,2001,17/03/04,11/03/15,,,2014
Handy,Apps|Home & Garden|Services|Software,"110,728,926",operating,USA,NY,New York City,New York,6,2012,16/10/12,02/11/15,,,2014
Care.com,Curated Web|Customer Service|Tutoring,"110,800,000",ipo,USA,MA,Boston,Waltham,6,2006,01/11/06,07/07/12,,,2014
Spiceworks,IT Management|Professional Networking|Social Media|Software,"111,000,000",operating,USA,TX,Austin,Austin,5,2006,16/06/06,04/02/14,,,2014
Agile Therapeutics,Biotechnology,"111,005,000",ipo,USA,NJ,Newark,Princeton,7,1997,28/10/09,06/02/15,,,2014
Spinal Modulation,Health Care|Medical Devices,"111,270,388",operating,USA,CA,SF Bay Area,Menlo Park,5,2004,24/01/06,07/06/13,,,2014
SMS THL Holdings,Information Technology|Technology,"111,274,895",operating,USA,NC,Charlotte,Charlotte,1,2010,21/10/10,21/10/10,,,2014
EdeniQ,Biotechnology,"111,670,000",operating,USA,NE,Omaha,Omaha,7,2008,21/04/08,20/01/15,,,2014
Appirio,Cloud Computing|Enterprise Software|SaaS|Software,"111,700,000",operating,USA,CA,SF Bay Area,San Francisco,5,2006,13/03/08,16/04/15,,,2014
Infinera Corporation,Telecommunications|Web Hosting,"112,000,000",ipo,USA,CA,SF Bay Area,Sunnyvale,4,2000,15/11/02,23/10/07,,,2014
Bond Street,Finance|FinTech,"112,200,000",operating,USA,NY,New York City,New York,4,2013,20/02/14,18/06/15,,,2014
Xirrus,Cloud Management|Mobile,"112,724,312",operating,USA,CA,Los Angeles,Thousand Oaks,7,2004,30/01/06,13/03/15,,,2014
Ardelyx,Biotechnology,"112,785,321",ipo,USA,CA,SF Bay Area,Fremont,3,2007,16/11/10,22/06/15,,,2014
Restoration Robotics,Biotechnology|Health Care,"112,999,999",operating,USA,CA,SF Bay Area,Mountain View,4,2002,13/08/07,10/11/14,,,2014
eHarmony,Curated Web,"113,000,000",operating,USA,CA,Los Angeles,Santa Monica,2,2000,01/06/00,01/11/04,,,2014
T5 Data Centers,Security,"113,000,000",operating,USA,GA,Atlanta,Atlanta,1,2008,14/05/13,14/05/13,,,2014
Money360,Real Estate,"113,000,000",operating,USA,CA,"Orange County, California",Ladera Ranch,3,2010,01/01/14,14/04/15,,,2014
Seres Health,Biotechnology,"113,000,000",ipo,USA,MA,Boston,Cambridge,4,2010,27/11/12,06/01/15,,,2014
Udemy,Education|Marketplaces|Technology,"113,000,000",operating,USA,CA,SF Bay Area,San Francisco,5,2010,31/08/10,02/06/15,,,2014
Genomatica,Clean Technology,"113,125,621",operating,USA,CA,San Diego,San Diego,4,2000,08/04/10,07/03/14,,,2014
Vigilant Solutions,Law Enforcement|Licensing,"113,214,186",operating,USA,CA,SF Bay Area,Livermore,2,2005,27/08/14,23/04/15,,,2014
YapStone,Finance|Finance Technology|Financial Services|FinTech|Mobile Payments|Payments,"113,400,000",operating,USA,CA,SF Bay Area,Walnut Creek,3,1999,13/08/09,31/03/15,,,2014
Axcient,Archiving|Business Services|Cloud Computing|Enterprise Software|Flash Storage|Homeland Security|Storage|Virtualization,"113,500,000",operating,USA,CA,SF Bay Area,Mountain View,7,2006,01/09/08,18/02/15,,,2014
Rethink Robotics,Manufacturing|Robotics,"113,500,350",operating,USA,MA,Boston,Boston,7,2008,21/08/08,16/04/15,,,2014
Actelis Networks,Internet|Software|Web Hosting,"113,616,859",operating,USA,CA,SF Bay Area,Fremont,8,1998,06/06/01,24/06/13,,,2014
Silk Road Medical,Health Care,"113,625,793",operating,USA,CA,SF Bay Area,Sunnyvale,6,2007,07/05/07,20/10/15,,,2014
Acceleron Pharma,Biotechnology,"113,701,127",ipo,USA,MA,Boston,Cambridge,6,2004,02/08/06,23/12/11,,,2014
Northwest Biotherapeutics,Biotechnology,"113,895,000",ipo,USA,MD,"Washington, D.C.",Bethesda,5,1998,09/12/10,03/04/15,,,2014
Overture Networks,Web Hosting,"113,914,304",operating,USA,NC,Raleigh,Morrisville,7,2000,03/10/02,04/06/13,,,2014
"ChargePoint, Inc.",Clean Technology,"113,993,598",operating,USA,CA,SF Bay Area,Campbell,7,2007,26/01/09,29/07/14,,,2014
Five9,Enterprise Software|Technology,"114,100,000",ipo,USA,CA,SF Bay Area,San Ramon,8,2001,28/04/04,10/03/14,,,2014
Veracode,Cyber|Mobile Security|Security,"114,260,328",operating,USA,MA,Boston,Burlington,6,2006,01/03/06,11/09/14,,,2014
Coraid,Storage,"114,300,000",operating,USA,CA,SF Bay Area,Redwood City,4,2000,01/12/09,01/12/13,,,2014
Rent the Runway,E-Commerce|Fashion,"114,400,000",operating,USA,NY,New York City,New York,4,2009,25/02/10,19/12/14,,,2014
TearScience,Health Care|Medical Devices,"114,500,000",operating,USA,NC,Raleigh,Morrisville,2,2005,06/05/10,26/02/13,,,2014
Medical Depot,Health Care,"115,000,000",operating,USA,NY,Long Island,Port Washington,1,1984,08/10/13,08/10/13,,,2014
Siva Power,Clean Technology,"115,000,000",operating,USA,CA,SF Bay Area,San Jose,8,2006,30/08/07,29/01/15,,,2014
Lighter Capital,Angels|Finance|FinTech|SaaS|Software|Venture Capital,"115,000,000",operating,USA,WA,Seattle,Seattle,3,2010,01/06/10,27/11/15,,,2014
Blueprint Medicines,Biotechnology|Health Care,"115,000,000",ipo,USA,MA,Boston,Cambridge,3,2011,11/04/11,12/11/14,,,2014
Cyanogen,Services|Software,"115,000,000",operating,USA,CA,SF Bay Area,Palo Alto,3,2013,18/09/13,23/03/15,,,2014
EndoChoice,Biotechnology|Health Care|Health Diagnostics,"115,489,918",operating,USA,GA,Atlanta,Alpharetta,6,2008,19/05/08,05/03/15,,,2014
Warby Parker,E-Commerce|Fashion|Retail,"115,500,000",operating,USA,NY,New York City,New York,6,2010,27/10/10,30/04/15,,,2014
Blue Bottle Coffee,Coffee|E-Commerce,"115,700,000",operating,USA,CA,SF Bay Area,Oakland,3,2002,01/01/12,04/06/15,,,2014
Yext,Advertising|Cloud Data Services|Local|Mobile|SaaS|Sales and Marketing|Software,"115,750,000",operating,USA,NY,New York City,New York,6,2006,01/11/06,04/06/14,,,2014
Hansen Medical,Health Care,"115,971,247",ipo,USA,CA,SF Bay Area,Mountain View,5,2002,08/12/11,25/03/15,,,2014
Kobalt,Digital Rights Management|Independent Music Labels|Music Services|Technology,"116,000,000",operating,USA,NY,New York City,New York,3,2000,01/02/08,26/02/15,,,2014
Couchbase,Analytics|Big Data|Databases|Enterprise Software,"116,000,000",operating,USA,CA,SF Bay Area,Mountain View,6,2009,01/01/09,26/06/14,,,2014
Retrophin,Biotechnology|Health Care,"116,000,000",ipo,USA,NY,New York City,New York,3,2011,16/08/13,01/07/14,,,2014
Kaltura,Analytics|Apps|Big Data|Cloud Computing|Collaboration|Content|Developer Tools|Education|Enterprise Software|Media|Mobile|Music|Open Source|SaaS|Software|Video|Video Editing|Web CMS|Web Tools,"116,100,000",operating,USA,NY,New York City,New York,6,2006,01/05/07,11/02/14,,,2014
Sutro Biopharma,Biotechnology,"116,305,000",operating,USA,CA,SF Bay Area,South San Francisco,7,2003,01/01/06,11/12/13,,,2014
Tremor Video,Advertising|Digital Media|Online Video Advertising,"116,400,000",ipo,USA,NY,New York City,New York,8,2005,01/03/06,12/09/11,,,2014
One Medical Group,Doctors|Health Care|Medical,"116,500,000",operating,USA,CA,SF Bay Area,San Francisco,6,2007,01/01/07,17/04/14,,,2014
Achaogen,Biotechnology|Health Care,"116,605,707",ipo,USA,CA,SF Bay Area,South San Francisco,4,2004,01/08/04,22/03/13,,,2014
Integral Ad Science,Advertising|Big Data Analytics|Digital Media|Internet,"116,750,070",operating,USA,NY,New York City,New York,6,2009,06/10/09,31/07/15,,,2014
Affirmed Networks,Mobile,"116,990,000",operating,USA,MA,Boston,Acton,5,2010,18/06/10,05/06/13,,,2014
1stdibs,E-Commerce,"117,000,000",operating,USA,NY,New York City,New York,5,2001,03/11/11,09/09/15,,,2014
Gynesonics,Health Care,"117,296,441",operating,USA,CA,SF Bay Area,Redwood City,10,2005,24/01/07,17/11/15,,,2014
Tegile Systems,Data Center Infrastructure|Enterprise Hardware|Flash Storage|Virtualization,"117,523,823",operating,USA,CA,SF Bay Area,Newark,4,2010,01/07/10,27/05/15,,,2014
MicroVision,Displays|Hardware + Software|Technology,"118,000,000",ipo,USA,WA,Seattle,Redmond,4,1993,22/06/09,30/03/15,,,2014
A10 Networks,Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting,"118,000,000",ipo,USA,CA,SF Bay Area,San Jose,4,2004,01/01/05,03/10/13,,,2014
GainSpan,Semiconductors,"118,188,900",operating,USA,CA,SF Bay Area,San Jose,9,2006,01/09/06,31/12/14,,,2014
Tidemark,Analytics|Cloud Computing|Enterprises|PaaS|SaaS,"118,370,901",operating,USA,CA,SF Bay Area,Redwood City,8,2009,07/10/10,16/06/15,,,2014
AlienVault,Security,"118,400,035",operating,USA,CA,SF Bay Area,San Mateo,8,2007,16/06/10,19/08/15,,,2014
Fulcrum Bioenergy,Clean Technology,"119,000,000",operating,USA,CA,SF Bay Area,Pleasanton,4,2007,28/04/08,01/07/15,,,2014
Delphix,Software,"119,500,000",operating,USA,CA,SF Bay Area,Menlo Park,4,2008,04/02/09,13/07/15,,,2014
General Assembly,EdTech|Education|Startups,"119,500,000",operating,USA,NY,New York City,New York,5,2011,24/01/11,30/09/15,,,2014
Catabasis Pharmaceuticals,Biotechnology,"119,523,736",ipo,USA,MA,Boston,Cambridge,9,2008,15/01/10,31/03/15,,,2014
Peloton,Android|Fitness|Hardware + Software|Video Streaming,"119,707,000",operating,USA,NY,New York City,New York,6,2012,01/02/12,02/12/15,,,2014
Vapotherm,Biotechnology,"119,750,000",operating,USA,MD,Baltimore,Stevensville,6,1999,01/11/07,01/12/15,,,2014
Agios Pharmaceuticals,Biotechnology|Health Care,"119,823,937",ipo,USA,MA,Boston,Cambridge,4,2008,07/07/08,17/11/11,,,2014
TV2 Holding,Biotechnology,"119,865,030",operating,USA,CA,Napa Valley,Santa Rosa,5,2007,06/11/09,07/11/13,,,2014
InSightec,Health Care|Medical Devices,"119,900,000",operating,USA,TX,Dallas,Dallas,3,1999,30/11/07,15/12/14,,,2014
Instant Information,Software,"119,999,911",operating,USA,NY,New York City,New York,1,2004,02/02/10,02/02/10,,,2014
Telogis,Enterprises|Enterprise Software|Fleet Management|Gps|Navigation|SaaS|Software|Transportation,"120,000,000",operating,USA,CA,Anaheim,Aliso Viejo,5,2001,03/04/09,18/05/15,,,2014
Chrome River Technologies,SaaS|Software,"120,000,000",operating,USA,CA,Los Angeles,Los Angeles,3,2007,01/05/12,30/06/15,,,2014
Hampton Creek,Consumer Goods|Environmental Innovation|Specialty Foods|Technology,"120,000,000",operating,USA,CA,SF Bay Area,San Francisco,5,2011,01/01/11,18/12/14,,,2014
Open English,EdTech|Education,"120,250,000",operating,USA,FL,Miami,Miami,5,2006,10/11/10,26/04/13,,,2014
GlobeImmune,Biotechnology,"120,456,440",ipo,USA,CO,Denver,Louisville,8,1995,16/12/05,12/03/14,,,2014
"Insikt, Inc.",Financial Services,"120,500,000",operating,USA,CA,SF Bay Area,San Francisco,6,2012,01/03/13,27/07/15,,,2014
Juniper Networks,Communications Hardware|Security|Technology,"120,607,339",ipo,USA,CA,SF Bay Area,Sunnyvale,2,1996,27/12/12,22/01/14,,,2014
SpiderCloud Wireless,Enterprise Software,"120,999,995",operating,USA,CA,SF Bay Area,San Jose,5,2007,12/12/09,06/01/15,,,2014
Relationship Science,B2B|Business Development|Business Services|Charity|Finance|FinTech|Hospitality|Networking|Nonprofits|Sales and Marketing|Venture Capital,"121,000,000",operating,USA,NY,New York City,New York,3,2010,01/01/10,16/04/15,,,2014
Banjo,Android|Apps|Concerts|Internet|iOS|iPad|iPhone|Location Based Services|Mobile|News|Real Time|Social Media|Social Search|Sports,"121,000,000",operating,USA,CA,SF Bay Area,Redwood City,3,2011,01/08/10,06/05/15,,,2014
Glaukos,Health Care,"121,000,392",ipo,USA,CA,Los Angeles,Laguna Hills,7,2001,01/09/02,07/02/13,,,2014
Tarsa Therapeutics,Biotechnology,"121,050,000",operating,USA,PA,Philadelphia,Philadelphia,7,2009,23/10/09,13/08/14,,,2014
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,"121,050,000",operating,USA,CA,SF Bay Area,San Francisco,2,2013,17/11/13,10/03/15,,,2014
